query_id,minilm_ndcg,minilm_mrr,minilm_precision,system_ndcg,system_mrr,system_precision,system,ndcg_delta_vs_minilm,mrr_delta_vs_minilm,precision_delta_vs_minilm
q057,0.7976000064097211,1.0,0.4,0.7323112962274628,1.0,0.4,qwen3_embedding_0.6b,-0.06528871018225824,0.0,0.0
q058,0.6952122615635931,1.0,1.0,0.6268400391209451,1.0,0.8,qwen3_embedding_0.6b,-0.06837222244264796,0.0,-0.19999999999999996
q059,0.8062532112739409,1.0,0.8,0.4984890808997767,1.0,0.5,qwen3_embedding_0.6b,-0.30776413037416417,0.0,-0.30000000000000004
q060,0.5804490216608788,1.0,0.4,0.5173305791910007,1.0,0.5,qwen3_embedding_0.6b,-0.06311844246987808,0.0,0.09999999999999998
q001,0.49090027111585044,1.0,0.8,0.47122897785189316,1.0,0.8,bge_reranker_v2_m3,-0.01967129326395728,0.0,0.0
q002,0.5947718986560576,1.0,1.0,0.7870421707909313,1.0,0.9,bge_reranker_v2_m3,0.1922702721348737,0.0,-0.09999999999999998
q003,0.6324435927684925,1.0,0.7,0.6171676180382846,1.0,0.8,bge_reranker_v2_m3,-0.01527597473020792,0.0,0.10000000000000009
q004,0.4394900292566279,1.0,0.6,0.7239035049026454,1.0,0.9,bge_reranker_v2_m3,0.28441347564601754,0.0,0.30000000000000004
q005,0.38635002366809995,1.0,0.6,0.7359144554971137,1.0,0.8,bge_reranker_v2_m3,0.3495644318290137,0.0,0.20000000000000007
q006,0.5466304839501731,1.0,0.4,0.4105161544057724,0.5,0.3,bge_reranker_v2_m3,-0.13611432954440073,-0.5,-0.10000000000000003
q007,0.6961622681399229,1.0,0.7,0.8318477135310891,1.0,0.8,bge_reranker_v2_m3,0.13568544539116623,0.0,0.10000000000000009
q008,1.0,1.0,1.0,0.8318477135310891,1.0,0.8,bge_reranker_v2_m3,-0.1681522864689109,0.0,-0.19999999999999996
q009,0.31598177738436345,0.25,0.4,0.7788065869851875,1.0,0.7,bge_reranker_v2_m3,0.462824809600824,0.75,0.29999999999999993
q010,0.5446883027501755,1.0,0.9,0.7305730125941942,1.0,1.0,bge_reranker_v2_m3,0.18588470984401861,0.0,0.09999999999999998
q011,0.09803928583135704,0.1,0.1,0.48522855511632257,1.0,0.2,bge_reranker_v2_m3,0.38718926928496555,0.9,0.1
q012,0.14606834984270645,0.25,0.1,0.6164336326286644,1.0,0.3,bge_reranker_v2_m3,0.4703652827859579,0.75,0.19999999999999998
q013,0.4080877936181632,1.0,0.4,0.3746146131626306,1.0,0.6,bge_reranker_v2_m3,-0.0334731804555326,0.0,0.19999999999999996
q014,0.722216034582192,1.0,0.8,0.6132044609461067,1.0,0.6,bge_reranker_v2_m3,-0.10901157363608527,0.0,-0.20000000000000007
q015,0.7884282553641707,1.0,0.4,0.6785815599127776,1.0,0.2,bge_reranker_v2_m3,-0.10984669545139314,0.0,-0.2
q016,0.9074250374176304,1.0,1.0,0.8133629099189119,1.0,0.8,bge_reranker_v2_m3,-0.09406212749871845,0.0,-0.19999999999999996
q017,0.3508948749050558,1.0,0.4,0.5000636531782432,1.0,0.4,bge_reranker_v2_m3,0.14916877827318742,0.0,0.0
q018,0.6347289430958043,0.5,0.3,0.9143091486983557,1.0,0.3,bge_reranker_v2_m3,0.27958020560255137,0.5,0.0
q019,0.5314417298384618,0.5,0.8,0.6818077264170969,1.0,0.9,bge_reranker_v2_m3,0.15036599657863503,0.5,0.09999999999999998
q020,0.36939392620772976,1.0,0.4,0.4537425745411855,1.0,0.3,bge_reranker_v2_m3,0.08434864833345573,0.0,-0.10000000000000003
q021,0.21801641453242446,0.16666666666666666,0.3,0.11004588314904008,0.3333333333333333,0.1,bge_reranker_v2_m3,-0.10797053138338437,0.16666666666666666,-0.19999999999999998
